#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"All I Hear is Waves","1ST VOWS",74,8B,47,2026-03-09,03:18,6,"retro soul","All I Hear is Waves",2017-11-17,80,17,0,44,0,0,-7,C Major,4,4bneYq5zf75u4HU0hRtt3o,QM24S1704283
2,"Dissolve","Absofacto,NITESHIFT",85,11A,58,2026-03-09,03:44,57,"","Cocoon",2024-07-19,69,23,0,87,0,0,-11,F#/G♭ Minor,4,4gC3PmUCFHX1DxuKBpSAfc,USAT21704522
3,"Done with Love (feat. Herizen)","Absofacto,Herizen",140,4A,49,2026-03-09,03:36,31,"","Cocoon",2024-07-19,63,48,0,51,0,0,-9,F Minor,4,5cAURyZXQH6atM1jcMQZAM,USAT21704524
4,"Basic Instinct","The Acid",118,9B,47,2026-03-09,04:49,37,"","Liminal",2014-07-15,74,55,28,33,0,10,-9,G Major,4,5E0pS3sXgWdQZMKChqYXHE,GBZUZ1300215
5,"Don't Wanna Fight","Alabama Shakes",100,3A,92,2026-03-09,03:52,56,"","Sound & Color",2015-04-21,61,26,11,55,10,10,-3,A#/B♭ Minor,4,6q0lIjDSuZDhrg9GC9yUQO,USATO1400851
6,"Word Of Mouth","Allan Rayman",120,4B,51,2026-03-09,03:01,49,"","Courtney",2017-11-10,82,20,0,36,10,10,-9,G#/A♭ Major,4,0R1dGEU2fIdDENPwpMqAFA,CAUM71700191
7,"13","Allan Rayman",156,8B,53,2026-03-09,04:02,48,"","Roadhouse 01",2017-02-24,62,6,7,63,10,30,-9,C Major,3,4pr2A1vgqaGJ1yj6hFr3aE,CAUM71600262
8,"Breezeblocks","alt-J",150,7B,66,2026-03-09,03:47,72,"indie, indie rock","An Awesome Wave",2012-09-18,62,10,0,29,0,20,-7,F Major,4,3n69hLUdIsSa1WlRmjMZlW,GBZUZ1200067
9,"Deadcrush","alt-J",143,8A,62,2026-03-09,03:51,52,"indie, indie rock","RELAXER",2017-06-02,65,10,48,60,0,10,-7,A Minor,4,7gn0MfkV4ZuMkqbPlmhIlx,GB5KW1700460
10,"Opening Night","Arctic Monkeys,War Child Records",123,8B,46,2026-03-09,04:19,76,"indie, garage rock, ","Opening Night",2026-01-22,77,38,0,60,0,0,-10,C Major,4,7HXzuAd8UNJj2yCAS0NWbB,GBAZP2500234
11,"Stockholm","Atlas Genius",125,9B,75,2026-03-09,03:11,47,"","Inanimate Objects",2015-08-28,57,1,0,41,0,10,-5,G Major,4,7tKnaB8gsXxyPScxEwzQ9N,USWB11506890
12,"Trojans","Atlas Genius",140,9B,82,2026-03-09,03:37,60,"","When It Was Now",2013-02-18,72,1,0,54,0,0,-5,G Major,4,0wDEiGfq4pw7FAkYKpkwMo,USWB11300017
13,"The Best","AWOLNATION",111,7A,87,2026-03-09,03:43,53,"","Angel Miners & The Lightning Riders",2020-04-24,64,11,26,5,0,10,-5,D Minor,4,6RSVgjjYRtKg4FDyx2Lj1u,USDPK1900094
14,"Hollow Moon (Bad Wolf)","AWOLNATION",120,8B,76,2026-03-09,04:18,47,"","Run",2015-03-17,75,9,53,41,0,10,-5,C Major,4,7cfr3F2jpzjwqL6ZhGfjtH,USP6L1400287
15,"Jailbreak","AWOLNATION",111,4A,40,2026-03-09,04:41,45,"","Run",2015-03-17,78,12,0,48,0,0,-6,F Minor,4,57UIoWO4bNtnrTRXHvHfbL,USP6L1400294
