song,artist,year,popularity,distance,BPM,Dance,Energy,Valence,Acoustic
It's Goin' Down (feat. Nitti),"Yung Joc,NITTI",2006,70,0.883,84,89,58,61,10
Paul Revere,Beastie Boys,1986,61,0.498,92,88,55,58,2
Magic Stick,Lil' Kim,2003,63,0.862,93,85,50,50,12
SPIT IN MY FACE!,ThxSoMch,2022,79,0.6,94,73,79,65,5
Hey Baby,"No Doubt,Bounty Killer",2001,61,0.701,94,71,87,75,6
Ms. Jackson,Outkast,2000,84,0.72,95,84,81,61,14
Fish Paste,Die Antwoord,2010,38,0.514,95,87,49,62,9
It Wasn't Me,"Shaggy,Rik Rok",2000,82,0.815,95,85,61,65,6
Can't C Me,2Pac,1996,70,0.0,95,80,85,67,4
Love Like,Kehlani,2024,40,0.686,97,78,75,62,2
You're a Jerk,New Boyz,2009,53,0.859,99,93,46,52,15
Figure It Out,Maroon 5,2007,24,0.707,100,89,55,46,4
Dance With Me,112,2001,66,0.0,102,91,51,61,3
Second Best,Younger Hunger,2019,37,0.601,103,73,68,50,3
Bootylicious,Destiny's Child,2001,63,0.471,103,84,84,64,0
Butterfly,Crazy Town,2000,79,0.661,104,74,81,61,0
How Many Licks? (feat. Sisqo),"Lil' Kim,Sisqo",2000,57,0.394,105,78,85,65,5
It Makes Me Ill,*NSYNC,2000,49,0.415,105,81,86,65,1
Queen of the Night - Radio Edit,Whitney Houston,1992,54,0.761,105,74,90,76,0
Come Baby Come,K7,1993,64,0.418,106,83,73,55,3
Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,1996,63,0.586,108,79,81,51,1
HEATED,Beyoncé,2022,67,0.0,111,79,73,50,6
Shut Up,Black Eyed Peas,2003,73,0.383,113,81,72,58,7
Paparazzi,Lady Gaga,2008,76,0.62,115,76,69,40,11
Touch It,Monifah,1998,55,0.942,115,86,48,78,3
Dream Walkin',Toby Keith,1997,56,0.626,117,71,75,54,9
Talk To Me,Peaches,2009,23,0.75,118,95,56,55,2
Hollow Moon (Bad Wolf),AWOLNATION,2015,47,0.62,120,75,76,41,9
Don't Cha,"The Pussycat Dolls,Busta Rhymes",2005,70,0.955,120,88,64,57,1
She's A Lady,Tom Jones,1971,69,1.203,120,51,88,62,21
Little Bit,Lykke Li,2008,68,1.0,120,82,74,70,16
Grit Your Teeth,Martin Luke Brown,2018,24,0.558,122,81,71,48,12
Cold Hearted,Paula Abdul,1988,55,0.857,122,88,68,72,15
Die Another Day,Madonna,2002,33,1.034,124,80,76,49,9
No Room in Frame,Death Cab for Cutie,2015,45,1.092,125,64,72,44,20
Lose Control (feat. Ciara & Fat Man Scoop),"Missy Elliott,Ciara,Fatman Scoop",2005,70,1.026,125,90,81,81,3
Wild Thing,Tone-Loc,1989,65,1.032,126,94,69,81,0
Sweet Nothing (feat. Florence Welch),"Calvin Harris,Florence Welch",2012,77,1.207,128,57,93,58,20
Get Up (feat. Chamillionaire),"Ciara,Chamillionaire",2006,66,0.991,129,96,60,63,2
Cowboy Gangster Politician,Goldie Boutilier,2022,70,1.012,130,67,70,63,21
The Con,Tegan and Sara,2007,45,1.032,130,57,85,70,18
Like a Boy,Ciara,2006,67,1.143,132,70,72,43,27
Forgot About Dre,"Dr. Dre,Eminem",1999,80,0.0,134,92,74,62,8
Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X,Billy Ray Cyrus",2019,78,0.819,136,88,62,64,5
Snap Backs & Tattoos,Driicky Graham,2012,43,0.682,140,86,69,54,12
Tunnel Vision,Justin Timberlake,2013,52,0.0,142,57,77,57,28
All The Right Moves,OneRepublic,2009,69,1.217,146,53,95,65,26
Who Are You,The Who,1978,62,1.102,156,65,65,49,26
Danger Zone - From  Top Gun  Original Soundtrack,Kenny Loggins,1997,75,1.074,157,54,90,65,24
