song,artist,year,popularity,distance,BPM,Dance,Energy,Valence,Acoustic,Loud (Db)
Not Enough,Daughter,2026,44,1.848,77,53,66,65,12,-10
Dissolve,"Absofacto,NITESHIFT",2024,57,0.0,85,69,58,87,23,-11
Missed Connection,The Head And The Heart,2019,53,1.139,88,67,79,54,1,-5
Black Sun,Death Cab for Cutie,2015,53,2.004,88,61,64,61,17,-8
Trip Switch,Nothing But Thieves,2015,53,0.0,88,65,81,77,2,-4
Wonderful Nothing,Glass Animals,2024,60,2.078,89,65,49,48,25,-9
Milk & Coffee,NoMBe,2018,51,0.915,91,56,80,71,0,-5
Pretty Pimpin,Kurt Vile,2015,57,1.682,91,57,66,76,9,-9
Something to Believe In,Young the Giant,2016,61,0.798,92,62,89,71,2,-3
Take My Love and Run,Bad Suns,2014,41,0.655,92,66,87,80,0,-3
Electric Bones,Findlay,2017,38,0.834,95,59,88,67,0,-4
Pork Soda,Glass Animals,2016,66,1.996,96,70,66,62,12,-8
Youth,Glass Animals,2016,70,1.865,96,65,72,79,13,-8
It's A Trip!,Joywave,2017,58,0.929,98,67,72,73,9,-5
Doing Good,Milky Chance,2017,38,1.921,98,71,73,73,29,-8
Devil's Advocate,The Neighbourhood,2020,66,1.921,98,66,68,86,3,-8
home ft. WALK THE MOON,"MORGXN,WALK THE MOON",2018,40,0.854,100,67,71,84,4,-4
Wish I Knew You,The Revivalists,2015,72,1.203,101,65,72,72,14,-7
Guillotine,"Mansionair,NoMBe",2022,50,0.851,102,69,65,84,0,-7
Obsession,Joywave,2020,49,0.879,102,66,84,88,1,-5
So Tied Up,"Cold War Kids,Bishop Briggs",2017,54,0.954,105,59,89,81,3,-4
Put the Gun Down,ZZ Ward,2012,49,1.136,105,76,72,85,3,-5
Your Love (Déjà Vu),Glass Animals,2020,66,1.863,108,85,66,61,2,-7
So Cold,Balu Brigada,2025,75,1.127,111,66,77,79,0,-6
Don't You Know,Jaymes Young,2017,50,1.733,112,75,70,76,18,-9
Cocoon,Milky Chance,2017,57,0.484,114,74,66,80,10,-7
Body Heat,Goldie Boutilier,2022,62,0.0,115,88,53,88,14,-9
Too Sweet,Hozier,2024,79,0.719,117,74,62,93,3,-6
Damage Done,Kita Alexander,2016,30,1.679,118,75,48,69,11,-7
Blossom,Milky Chance,2017,47,0.0,120,75,68,85,3,-7
Brazil,Declan McKenna,2017,81,1.296,121,69,62,67,9,-5
Running From My Shadow (feat. grandson),"Mike Shinoda,grandson",2018,25,0.965,122,76,72,64,2,-7
broken,lovelytheband,2018,67,1.283,123,67,73,51,0,-6
Typical Ways,Culture Wars,2025,63,1.009,123,74,67,91,1,-5
Troubled Man,Milky Chance,2022,43,1.805,124,96,65,89,37,-7
Wasted,Rainbow Kitten Surprise,2015,55,1.727,126,79,62,58,12,-8
Fever,The Black Keys,2014,63,1.24,128,61,67,74,0,-7
Cowboy Gangster Politician,Goldie Boutilier,2022,70,0.0,130,67,70,63,21,-7
thank god,Christian French,2023,29,1.138,136,84,63,79,7,-6
Loud(y),Lewis Del Mar,2016,42,1.187,140,72,59,48,30,-7
Deadcrush,alt-J,2017,53,0.902,143,65,62,60,10,-7
3 Nights,Dominic Fike,2018,73,1.773,152,82,52,88,22,-7
